,symbol,datetime,open,high,low,close
81,MSFT,2022-04-29 04:00:00,288.61,289.88,276.5,277.52
82,MSFT,2022-05-02 04:00:00,277.71,284.94,276.22,284.47
83,MSFT,2022-05-03 04:00:00,283.96,284.13,280.15,281.78
84,MSFT,2022-05-04 04:00:00,282.59,290.88,276.73,289.98
85,MSFT,2022-05-05 04:00:00,285.54,286.35,274.34,277.35
86,MSFT,2022-05-06 04:00:00,274.805,279.25,271.27,274.73
87,MSFT,2022-05-09 04:00:00,270.06,272.36,263.32,264.58
88,MSFT,2022-05-10 04:00:00,271.69,273.75,265.07,269.5
89,MSFT,2022-05-11 04:00:00,265.68,271.36,259.3,260.55
90,MSFT,2022-05-12 04:00:00,257.69,259.88,250.02,255.35
91,MSFT,2022-05-13 04:00:00,257.35,263.04,255.35,261.12
92,MSFT,2022-05-16 04:00:00,259.955,265.82,255.78,261.5
93,MSFT,2022-05-17 04:00:00,266.11,268.33,262.46,266.82
94,MSFT,2022-05-18 04:00:00,263.0,263.6,252.77,254.08
95,MSFT,2022-05-19 04:00:00,253.9,257.67,251.88,253.14
96,MSFT,2022-05-20 04:00:00,257.24,258.54,246.44,252.56
97,MSFT,2022-05-23 04:00:00,255.49,261.5,253.43,260.65
98,MSFT,2022-05-24 04:00:00,257.89,261.33,253.5,259.62
99,MSFT,2022-05-25 04:00:00,258.14,264.58,257.125,262.52
100,MSFT,2022-05-26 04:00:00,262.27,267.11,261.4294,265.9
101,MSFT,2022-05-27 04:00:00,268.48,273.34,267.56,273.24
102,MSFT,2022-05-31 04:00:00,272.53,274.77,268.93,271.87
103,MSFT,2022-06-01 04:00:00,275.195,277.69,270.04,272.42
104,MSFT,2022-06-02 04:00:00,264.45,274.65,261.6,274.58
105,MSFT,2022-06-03 04:00:00,270.31,273.45,268.41,270.02
106,MSFT,2022-06-06 04:00:00,272.06,274.18,267.22,268.75
107,MSFT,2022-06-07 04:00:00,266.635,273.13,265.94,272.5
108,MSFT,2022-06-08 04:00:00,271.71,273.0,269.61,270.41
109,MSFT,2022-06-09 04:00:00,267.78,272.7081,264.63,264.79
110,MSFT,2022-06-10 04:00:00,260.58,260.58,252.53,252.99
111,MSFT,2022-06-13 04:00:00,245.11,249.0242,241.53,242.26
112,MSFT,2022-06-14 04:00:00,243.86,245.74,241.51,244.49
113,MSFT,2022-06-15 04:00:00,248.31,255.3,246.42,251.76
114,MSFT,2022-06-16 04:00:00,245.98,247.4174,243.02,244.97
115,MSFT,2022-06-17 04:00:00,244.7,250.5,244.03,247.65
116,MSFT,2022-06-21 04:00:00,250.255,254.75,249.51,253.74
117,MSFT,2022-06-22 04:00:00,251.89,257.17,250.37,253.13
118,MSFT,2022-06-23 04:00:00,255.57,259.37,253.63,258.86
119,MSFT,2022-06-24 04:00:00,261.808,267.98,261.72,267.7
120,MSFT,2022-06-27 04:00:00,268.205,268.3,263.28,264.89
121,MSFT,2022-06-28 04:00:00,263.98,266.91,256.32,256.48
122,MSFT,2022-06-29 04:00:00,257.59,261.97,255.76,260.26
123,MSFT,2022-06-30 04:00:00,257.05,259.53,252.9,256.83
124,MSFT,2022-07-01 04:00:00,256.39,259.77,254.61,259.58
125,MSFT,2022-07-05 04:00:00,256.16,262.98,254.74,262.85
126,MSFT,2022-07-06 04:00:00,263.75,267.99,262.4,266.21
127,MSFT,2022-07-07 04:00:00,265.12,269.055,265.02,268.4
128,MSFT,2022-07-08 04:00:00,264.79,268.1,263.285,267.66
129,MSFT,2022-07-11 04:00:00,265.65,266.53,262.18,264.51
130,MSFT,2022-07-12 04:00:00,265.88,265.94,252.04,253.67
131,MSFT,2022-07-13 04:00:00,250.19,253.55,248.11,252.72
132,MSFT,2022-07-14 04:00:00,250.57,255.1374,245.94,254.08
133,MSFT,2022-07-15 04:00:00,255.72,260.3699,254.7727,256.72
134,MSFT,2022-07-18 04:00:00,259.75,260.84,253.3,254.25
135,MSFT,2022-07-19 04:00:00,257.575,259.72,253.68,259.53
136,MSFT,2022-07-20 04:00:00,259.9,264.87,258.91,262.27
137,MSFT,2022-07-21 04:00:00,259.79,264.89,257.03,264.84
